Rank_Values,HitR_LowerBand,AvgHitRate,HitR_UpperBand
10,0.054058,0.101222,0.148386
15,0.053216,0.103315,0.153414
20,0.061584,0.117471,0.173359
25,0.058075,0.118817,0.179559
30,0.050096,0.113096,0.176097
35,0.053108,0.115315,0.177522
40,0.05103,0.11146,0.171889
45,0.058873,0.114641,0.170409
50,0.063254,0.117932,0.172611
55,0.071193,0.124192,0.177192
60,0.066542,0.119456,0.172369
65,0.054563,0.113028,0.171493
70,0.053238,0.112179,0.171119
75,0.06249,0.120912,0.179333
80,0.060787,0.121569,0.182352
