Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.011686,0.012149,0.012727,0.012033,0.01157,0.009603,0.009487,0.007752,1.1207785555555558
15,0.016545,0.017355,0.018165,0.017239,0.016429,0.012149,0.014231,0.010297,1.680267777777778
20,0.02071,0.022215,0.022446,0.021752,0.021058,0.015041,0.015504,0.01157,2.2389217777777777
25,0.024529,0.025454,0.026033,0.026148,0.024413,0.017586,0.018512,0.012033,2.797189777777778
30,0.027074,0.028925,0.028578,0.029157,0.026264,0.020363,0.019206,0.013537,3.3547893333333336
35,0.030776,0.031818,0.032165,0.031933,0.029041,0.02233,0.021173,0.014463,3.912633222222222
40,0.031818,0.033437,0.034247,0.035057,0.031239,0.023256,0.021173,0.01562,4.469538555555555
45,0.035173,0.03633,0.03714,0.03714,0.0339,0.025686,0.02395,0.019553,5.0276524444444455
50,0.036677,0.038644,0.03876,0.038644,0.03552,0.026148,0.025107,0.019091,5.5842878888888885
55,0.037834,0.041074,0.03957,0.039685,0.035173,0.027884,0.024297,0.018512,6.140447666666666
60,0.038644,0.040958,0.040264,0.040842,0.036099,0.028347,0.025801,0.020479,6.696826
65,0.040842,0.043619,0.042809,0.042694,0.038181,0.030429,0.027652,0.022793,7.254335444444444
70,0.042809,0.045933,0.045123,0.043851,0.041305,0.031355,0.028462,0.024181,7.811446555555558
75,0.044776,0.047784,0.046396,0.046165,0.042694,0.033669,0.029272,0.026033,8.368532111111112
80,0.045702,0.04952,0.048131,0.048131,0.045355,0.035289,0.031471,0.027537,8.925681777777777
