Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.111888,0.096774,0.111111,0.176259,0.165939,0.089552,0.058252,0.0,1.2010861111111109
15,0.115385,0.11828,0.12381,0.183453,0.157205,0.089552,0.038835,0.0,1.7585022222222222
20,0.146853,0.143369,0.15873,0.194245,0.165939,0.08209,0.048544,0.0,2.326641111111111
25,0.157343,0.146953,0.152381,0.197842,0.187773,0.059701,0.048544,0.0,2.883393
30,0.15035,0.146953,0.161905,0.205036,0.165939,0.037313,0.019417,0.017857,3.4338633333333335
35,0.146853,0.154122,0.161905,0.205036,0.170306,0.037313,0.029126,0.017857,3.991390888888888
40,0.143357,0.146953,0.146032,0.194245,0.179039,0.044776,0.019417,0.017857,4.543519555555556
45,0.146853,0.139785,0.155556,0.190647,0.174672,0.044776,0.029126,0.035714,5.101903222222222
50,0.146853,0.139785,0.152381,0.194245,0.183406,0.052239,0.038835,0.035714,5.6603842222222225
55,0.157343,0.136201,0.174603,0.194245,0.179039,0.059701,0.038835,0.053571,6.221504222222221
60,0.153846,0.136201,0.15873,0.190647,0.179039,0.044776,0.038835,0.053571,6.772849444444444
65,0.136364,0.136201,0.155556,0.197842,0.179039,0.052239,0.029126,0.017857,7.322691555555557
70,0.13986,0.136201,0.155556,0.190647,0.183406,0.044776,0.029126,0.017857,7.877492111111113
75,0.13986,0.139785,0.155556,0.208633,0.19214,0.074627,0.038835,0.017857,8.440810333333337
80,0.143357,0.146953,0.165079,0.208633,0.19214,0.059701,0.038835,0.017857,8.996950555555557
