Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.087403,0.081362,0.095908,0.152438,0.107872,0.02614,0.014078,0.0,1.1739112222222223
15,0.092895,0.101792,0.109233,0.160042,0.121591,0.057359,0.031592,0.0,1.7416115555555556
20,0.104851,0.111006,0.129489,0.171853,0.131708,0.047243,0.030513,0.0,2.3029625555555553
25,0.114991,0.125526,0.130784,0.178177,0.147307,0.027674,0.032455,0.0,2.8618793333333334
30,0.123911,0.131635,0.134845,0.186451,0.158557,0.019092,0.020804,0.0,3.4194772222222216
35,0.124684,0.127466,0.13552,0.186451,0.155828,0.017724,0.020631,0.005952,3.9749173333333334
40,0.118944,0.128991,0.134506,0.182554,0.16048,0.013868,0.015534,0.008503,4.529264444444445
45,0.116223,0.120261,0.129478,0.181655,0.159098,0.02444,0.017164,0.005804,5.083791444444444
50,0.116675,0.122834,0.134381,0.180935,0.160704,0.023694,0.015546,0.005208,5.639997444444444
55,0.112685,0.119952,0.13302,0.180436,0.159352,0.010966,0.01432,0.002232,6.192551444444444
60,0.114394,0.123178,0.13873,0.181115,0.164605,0.010095,0.013835,0.002232,6.749798222222222
65,0.11892,0.126464,0.137937,0.18021,0.166303,0.009088,0.012136,0.002232,7.305921111111112
70,0.117599,0.127419,0.143016,0.183162,0.171361,0.012624,0.015777,0.002976,7.863770444444445
75,0.121183,0.128051,0.137407,0.185226,0.175182,0.013246,0.014887,0.003571,8.419861444444443
80,0.122523,0.129271,0.141508,0.190142,0.175546,0.01449,0.017568,0.002976,8.977113777777777
