Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.012149,0.013421,0.012496,0.012727,0.012611,0.00914,0.009256,0.008562,1.1211513333333334
15,0.01562,0.016429,0.016777,0.017124,0.015851,0.01157,0.012033,0.009719,1.6794581111111113
20,0.019206,0.021058,0.021058,0.021636,0.020595,0.015157,0.014925,0.011339,2.2383304444444447
25,0.022677,0.024297,0.024644,0.024876,0.023024,0.015504,0.017124,0.011917,2.796007
30,0.025801,0.026958,0.028,0.027537,0.024876,0.017702,0.018396,0.013421,3.353632333333333
35,0.029388,0.029619,0.030198,0.031008,0.027305,0.019553,0.018743,0.013768,3.911064666666666
40,0.03228,0.03309,0.032859,0.034016,0.030314,0.022446,0.020248,0.01562,4.46898588888889
45,0.034132,0.034363,0.034247,0.035867,0.03309,0.025454,0.022099,0.017818,5.026341111111112
50,0.03633,0.037256,0.037256,0.038181,0.034594,0.02719,0.023603,0.0199,5.583812222222222
55,0.037603,0.040032,0.040264,0.040727,0.037371,0.029272,0.025223,0.021752,6.141360444444443
60,0.039685,0.042346,0.041189,0.041768,0.03957,0.029272,0.026148,0.022446,6.698047111111111
65,0.042925,0.044776,0.043156,0.043619,0.040958,0.031123,0.026495,0.024991,7.255338111111111
70,0.043851,0.045817,0.044198,0.044892,0.042578,0.030892,0.028115,0.025107,7.811716666666667
75,0.045586,0.046627,0.046627,0.047437,0.043272,0.034016,0.030429,0.026264,8.368917555555555
80,0.046743,0.047322,0.04709,0.04952,0.045123,0.035057,0.031355,0.027305,8.925501666666667
