Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.122378,0.107527,0.12381,0.183453,0.157205,0.097015,0.058252,0.017857,1.2074996666666664
15,0.118881,0.11828,0.114286,0.179856,0.183406,0.089552,0.058252,0.017857,1.7644855555555552
20,0.136364,0.143369,0.149206,0.208633,0.187773,0.104478,0.038835,0.0,2.3298508888888887
25,0.160839,0.146953,0.15873,0.21223,0.200873,0.067164,0.058252,0.0,2.8894490000000004
30,0.160839,0.154122,0.168254,0.223022,0.20524,0.074627,0.097087,0.071429,3.4616244444444444
35,0.160839,0.154122,0.15873,0.219424,0.187773,0.074627,0.067961,0.035714,4.006576666666666
40,0.143357,0.143369,0.15873,0.215827,0.187773,0.067164,0.07767,0.053571,4.560828999999999
45,0.13986,0.150538,0.146032,0.21223,0.170306,0.074627,0.058252,0.035714,5.109728777777777
50,0.13986,0.154122,0.149206,0.208633,0.179039,0.074627,0.058252,0.017857,5.6646217777777785
55,0.136364,0.150538,0.149206,0.215827,0.187773,0.074627,0.048544,0.017857,6.220081777777777
60,0.13986,0.154122,0.155556,0.223022,0.19214,0.08209,0.058252,0.017857,6.780322111111111
65,0.143357,0.154122,0.165079,0.215827,0.19214,0.08209,0.058252,0.017857,7.3365248888888885
70,0.143357,0.146953,0.155556,0.226619,0.19214,0.08209,0.048544,0.053571,7.8943144444444435
75,0.15035,0.146953,0.15873,0.223022,0.19214,0.067164,0.029126,0.035714,8.44479988888889
80,0.146853,0.154122,0.168254,0.223022,0.20524,0.067164,0.048544,0.035714,9.00543477777778
