Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.094746,0.086534,0.102394,0.166487,0.13155,0.070718,0.042341,0.004464,1.188803777777778
15,0.094789,0.088744,0.095855,0.157348,0.116776,0.060779,0.030513,0.002232,1.7385595555555555
20,0.112747,0.11549,0.132817,0.188459,0.138646,0.049654,0.025351,0.0,2.3070182222222226
25,0.131228,0.122581,0.133522,0.191461,0.161881,0.0301,0.030205,0.0,2.8667753333333335
30,0.123722,0.12923,0.13462,0.193559,0.16755,0.035519,0.045184,0.0625,3.4324315555555556
35,0.126505,0.128334,0.137698,0.193195,0.163651,0.0293,0.031338,0.035714,3.982859444444445
40,0.117757,0.128435,0.135603,0.190767,0.160966,0.020398,0.020589,0.044643,4.535462000000001
45,0.115204,0.122854,0.129307,0.185671,0.161468,0.020357,0.015318,0.020089,5.085585333333332
50,0.116259,0.126912,0.13381,0.186091,0.167176,0.020552,0.012822,0.008929,5.6413945555555545
55,0.115035,0.12945,0.136085,0.18804,0.174672,0.02277,0.012406,0.008929,6.198598555555556
60,0.117191,0.135155,0.136878,0.193499,0.179039,0.021517,0.014925,0.008929,6.756348111111112
65,0.117191,0.134209,0.139448,0.191037,0.178675,0.02529,0.018231,0.008929,7.312556666666666
70,0.118007,0.131223,0.136878,0.195058,0.176024,0.025124,0.019984,0.012946,7.868360444444445
75,0.120983,0.129928,0.137407,0.19254,0.175946,0.022655,0.015642,0.0125,8.423066777777777
80,0.122096,0.130415,0.143209,0.191296,0.179282,0.021588,0.018204,0.0125,8.979843333333331
