Rank_Values,HitR_LowerBand,AvgHitRate,HitR_UpperBand
10,0.006721,0.014839,0.022957
15,0.012481,0.019512,0.026544
20,0.013232,0.023344,0.033457
25,0.013525,0.023426,0.033327
30,0.011031,0.023502,0.035972
35,0.011693,0.024227,0.036761
40,0.017835,0.026236,0.034638
45,0.018537,0.026999,0.03546
50,0.01397,0.026258,0.038546
55,0.014118,0.026902,0.039686
60,0.017511,0.028314,0.039116
65,0.020558,0.02988,0.039202
70,0.021164,0.030443,0.039722
75,0.019015,0.028206,0.037398
80,0.019889,0.028589,0.037288
