Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.008064,0.007697,0.00782,0.008186,0.008125,0.006903,0.007087,0.006598,1.1178311111111112
15,0.011668,0.010813,0.011424,0.01118,0.010691,0.009652,0.009164,0.009164,1.675972888888889
20,0.013623,0.013379,0.013868,0.013868,0.013379,0.012463,0.011668,0.010691,2.233659888888889
25,0.015639,0.015212,0.015273,0.015823,0.015028,0.014356,0.013318,0.012279,2.790769777777778
30,0.017106,0.015945,0.016189,0.016861,0.016006,0.014906,0.01399,0.013257,3.3471399999999996
35,0.017655,0.017044,0.016922,0.017655,0.017167,0.015639,0.014967,0.014112,3.9034623333333323
40,0.019549,0.018572,0.018205,0.019244,0.018511,0.016983,0.016434,0.015028,4.460280666666666
45,0.020404,0.019122,0.019427,0.019794,0.019183,0.017411,0.016983,0.015578,5.0164335555555555
50,0.02071,0.019549,0.020099,0.021076,0.019488,0.018388,0.017655,0.0157,5.572518333333334
55,0.022054,0.021321,0.021504,0.022237,0.020771,0.019427,0.018511,0.016189,6.129112666666666
60,0.023398,0.022298,0.02181,0.022543,0.021382,0.020099,0.019122,0.016678,6.68525888888889
65,0.024375,0.023337,0.023031,0.02407,0.022237,0.020771,0.019732,0.017289,7.241649111111112
70,0.02517,0.024314,0.023764,0.025658,0.023154,0.021504,0.020771,0.017655,7.79799888888889
75,0.025964,0.024986,0.024803,0.026269,0.023948,0.02181,0.021626,0.018816,8.35424688888889
80,0.026452,0.024925,0.024864,0.026391,0.023826,0.021748,0.021626,0.018816,8.909849777777778
