Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.027027,0.018293,0.020619,0.005128,0.0,0.025641,0.009346,0.012658,1.1243013333333334
15,0.027027,0.018293,0.020619,0.010256,0.032258,0.025641,0.009346,0.012658,1.6840108888888892
20,0.036036,0.02439,0.025773,0.010256,0.012903,0.042735,0.009346,0.025316,2.242972777777778
25,0.031532,0.02439,0.030928,0.010256,0.012903,0.042735,0.009346,0.025316,2.7986006666666667
30,0.040541,0.030488,0.025773,0.010256,0.012903,0.042735,0.0,0.025316,3.3542235555555555
35,0.036036,0.030488,0.036082,0.010256,0.012903,0.042735,0.0,0.025316,3.910424
40,0.027027,0.02439,0.036082,0.025641,0.019355,0.042735,0.009346,0.025316,4.467765777777776
45,0.027027,0.030488,0.036082,0.025641,0.019355,0.042735,0.009346,0.025316,5.023998888888888
50,0.027027,0.030488,0.036082,0.020513,0.019355,0.051282,0.0,0.025316,5.578895888888888
55,0.027027,0.030488,0.041237,0.020513,0.019355,0.051282,0.0,0.025316,6.1350242222222215
60,0.022523,0.030488,0.041237,0.020513,0.025806,0.051282,0.009346,0.025316,6.691834555555555
65,0.027027,0.030488,0.041237,0.025641,0.019355,0.051282,0.018692,0.025316,7.248782000000001
70,0.031532,0.030488,0.041237,0.025641,0.019355,0.051282,0.018692,0.025316,7.804838111111112
75,0.031532,0.030488,0.041237,0.025641,0.019355,0.042735,0.009346,0.025316,8.358405555555555
80,0.031532,0.030488,0.046392,0.025641,0.025806,0.034188,0.009346,0.025316,8.914301
