Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.021171,0.009824,0.008247,0.00057,0.001075,0.018803,0.002336,0.004219,1.118471666666667
15,0.021584,0.008188,0.007695,0.000513,0.006728,0.02094,0.002336,0.007736,1.6750800000000001
20,0.01783,0.009509,0.009342,0.001667,0.003405,0.030199,0.001558,0.004747,2.2309174444444446
25,0.00999,0.010085,0.008125,0.002877,0.004516,0.032479,0.0,0.006028,2.7860111111111108
30,0.010421,0.00768,0.007904,0.002442,0.003441,0.032479,0.000935,0.008137,3.341493222222222
35,0.010046,0.009618,0.009636,0.006716,0.004301,0.025234,0.002103,0.015823,3.8981641111111105
40,0.009647,0.008595,0.015263,0.005983,0.008825,0.02735,0.003037,0.016878,4.455064222222222
45,0.010296,0.013574,0.015098,0.006239,0.008387,0.025214,0.001168,0.018987,5.010995888888889
50,0.009197,0.015505,0.015077,0.006325,0.008449,0.022317,0.0,0.018987,5.566206333333333
55,0.009822,0.013574,0.017039,0.006581,0.009165,0.024145,0.0,0.018987,6.122145888888888
60,0.009272,0.008324,0.016037,0.005342,0.010753,0.024501,0.005607,0.009494,6.676592222222222
65,0.010854,0.007148,0.016086,0.005747,0.009534,0.021462,0.003375,0.01519,7.232155111111112
70,0.010153,0.009231,0.01527,0.005427,0.011039,0.012821,0.007009,0.017089,7.787559888888889
75,0.013907,0.013076,0.015765,0.005342,0.009677,0.012037,0.003115,0.015823,8.343193555555555
80,0.015283,0.012043,0.018428,0.005299,0.008602,0.00928,0.005607,0.025316,8.899984222222223
