Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.008064,0.007697,0.007942,0.008186,0.008247,0.006842,0.00727,0.006659,1.1178785555555557
15,0.011485,0.011546,0.012035,0.011607,0.011546,0.010447,0.009897,0.009836,1.6764887777777775
20,0.013501,0.01344,0.013745,0.013684,0.013623,0.012279,0.012157,0.010996,2.2337138888888886
25,0.015884,0.015517,0.015578,0.016006,0.015273,0.014173,0.01344,0.012707,2.790953111111111
30,0.017106,0.016189,0.015945,0.017289,0.016372,0.015334,0.01399,0.013318,3.3472825555555556
35,0.018388,0.017472,0.017228,0.018388,0.017411,0.016128,0.014601,0.014417,3.9037814444444456
40,0.019366,0.018877,0.01906,0.019366,0.018938,0.017778,0.016372,0.015395,4.460572444444444
45,0.020893,0.019488,0.019732,0.020343,0.019549,0.018511,0.017716,0.015639,5.016874555555555
50,0.021504,0.02071,0.02071,0.020954,0.020466,0.01906,0.018144,0.016189,5.57308188888889
55,0.022482,0.021565,0.021504,0.022237,0.020404,0.01961,0.01906,0.016617,6.129275444444444
60,0.023764,0.022176,0.022237,0.022787,0.021626,0.020649,0.019488,0.016678,6.685489444444444
65,0.02407,0.02352,0.023337,0.024131,0.022359,0.020893,0.020527,0.017594,7.241825666666666
70,0.02462,0.024131,0.023948,0.02578,0.023154,0.021321,0.021321,0.018144,7.7980465555555565
75,0.025353,0.025231,0.024864,0.026697,0.024253,0.022115,0.021748,0.018999,8.354362222222221
80,0.026147,0.025292,0.025414,0.027002,0.024742,0.021687,0.021748,0.01961,8.910182444444443
