Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.027027,0.018293,0.025773,0.005128,0.006452,0.025641,0.009346,0.012658,1.1255908888888888
15,0.040541,0.02439,0.025773,0.005128,0.025806,0.042735,0.009346,0.025316,1.6887816666666664
20,0.036036,0.030488,0.030928,0.010256,0.025806,0.042735,0.018692,0.025316,2.246695222222222
25,0.022523,0.030488,0.030928,0.015385,0.019355,0.051282,0.009346,0.025316,2.8005136666666663
30,0.031532,0.042683,0.030928,0.015385,0.012903,0.051282,0.028037,0.025316,3.359785111111111
35,0.031532,0.042683,0.041237,0.015385,0.019355,0.051282,0.018692,0.025316,3.916164666666666
40,0.031532,0.042683,0.036082,0.020513,0.025806,0.042735,0.028037,0.025316,4.472522666666666
45,0.031532,0.04878,0.041237,0.025641,0.025806,0.051282,0.018692,0.025316,5.0298095555555555
50,0.027027,0.04878,0.041237,0.020513,0.019355,0.051282,0.018692,0.025316,5.583577999999999
55,0.027027,0.04878,0.041237,0.020513,0.032258,0.042735,0.018692,0.025316,6.139617555555556
60,0.027027,0.042683,0.041237,0.015385,0.032258,0.042735,0.018692,0.025316,6.693925888888888
65,0.027027,0.036585,0.036082,0.020513,0.025806,0.042735,0.028037,0.025316,7.249122333333332
70,0.040541,0.042683,0.036082,0.020513,0.025806,0.051282,0.028037,0.037975,7.809213222222222
75,0.031532,0.042683,0.030928,0.020513,0.025806,0.051282,0.018692,0.025316,8.360750222222222
80,0.036036,0.036585,0.036082,0.020513,0.019355,0.042735,0.018692,0.012658,8.913628444444443
