Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.021772,0.009824,0.008763,0.00057,0.001613,0.018803,0.003115,0.006329,1.1189765555555555
15,0.022185,0.008866,0.008634,0.00057,0.004731,0.028419,0.003115,0.008439,1.6761065555555552
20,0.016742,0.010017,0.009284,0.001538,0.007097,0.031624,0.00227,0.009494,2.2320073333333337
25,0.009309,0.010315,0.009156,0.002564,0.009677,0.03142,0.001168,0.009494,2.787011444444444
30,0.010216,0.012626,0.00927,0.002906,0.003226,0.033048,0.003204,0.010549,3.3427827777777783
35,0.009733,0.010221,0.010035,0.007479,0.004946,0.026211,0.002374,0.012658,3.8981841111111115
40,0.009665,0.013371,0.01484,0.005433,0.009703,0.030627,0.004361,0.018987,4.456331888888889
45,0.011054,0.014709,0.015691,0.004878,0.009703,0.031136,0.003375,0.025316,5.012873555555554
50,0.010786,0.013574,0.016765,0.004487,0.008664,0.019312,0.003271,0.025316,5.566908333333333
55,0.010335,0.01062,0.020588,0.004402,0.01023,0.017949,0.004673,0.018987,6.121976
60,0.011524,0.008757,0.020453,0.004701,0.011075,0.017949,0.005607,0.025316,6.678375777777777
65,0.013594,0.008087,0.018921,0.005014,0.009839,0.013818,0.006854,0.008439,7.231618444444446
70,0.016459,0.013211,0.015871,0.005769,0.011183,0.012902,0.008567,0.006892,7.787872666666666
75,0.017473,0.016057,0.014404,0.005342,0.011505,0.010969,0.004673,0.013924,8.343816333333333
80,0.018098,0.013516,0.015012,0.004786,0.014516,0.008927,0.006542,0.012658,8.899339444444443
