Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.075007,0.07529,0.067365,0.071611,0.069063,0.069063,0.073309,0.069346,0.07125675
15,0.084065,0.081517,0.077271,0.079819,0.077271,0.073875,0.07897,0.077838,0.07882825
20,0.093688,0.090008,0.082366,0.084631,0.082649,0.081517,0.089442,0.084065,0.08604575
25,0.097934,0.095952,0.086612,0.089442,0.086612,0.086612,0.093971,0.084914,0.09025612500000002
30,0.103595,0.097368,0.09199,0.093405,0.09199,0.090575,0.095386,0.088027,0.094042
35,0.106708,0.101613,0.095386,0.095386,0.097934,0.093405,0.099632,0.096235,0.09828737499999997
40,0.11152,0.105293,0.099066,0.097934,0.099349,0.095952,0.103878,0.096235,0.101153375
45,0.11435,0.107557,0.103029,0.100481,0.103312,0.099066,0.109822,0.099349,0.10462075
50,0.117464,0.110388,0.104727,0.104161,0.105576,0.101896,0.112369,0.103029,0.10745125
55,0.117181,0.112652,0.109256,0.10501,0.105859,0.102462,0.112935,0.105293,0.108831
60,0.123974,0.121427,0.108406,0.108689,0.109256,0.105293,0.117181,0.106991,0.11265212499999999
65,0.125955,0.120577,0.111237,0.109539,0.110671,0.106142,0.11803,0.107274,0.11367812499999999
70,0.127087,0.121427,0.114067,0.109539,0.112652,0.110388,0.119162,0.113784,0.11601325000000001
75,0.127371,0.124257,0.116615,0.111803,0.11435,0.111237,0.118313,0.110671,0.11682712499999999
80,0.130484,0.128503,0.119162,0.1152,0.117181,0.112369,0.121993,0.114917,0.119976125
