Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.017284,0.010965,0.006378,0.010417,0.035714,0.04254,0.004873,0.012987,0.017644749999999997
15,0.017668,0.017043,0.003316,0.008247,0.02585,0.033144,0.015497,0.01461,0.016921875
20,0.01833,0.020294,0.005726,0.007854,0.024518,0.033757,0.01172,0.022727,0.01811575
25,0.020975,0.019284,0.007143,0.005671,0.018197,0.035741,0.014693,0.019571,0.017659374999999998
30,0.033201,0.019772,0.008248,0.010458,0.028697,0.033439,0.008333,0.018511,0.020082375000000003
35,0.032804,0.01675,0.011905,0.009375,0.022732,0.019403,0.015521,0.017077,0.018195875
40,0.035538,0.020955,0.014213,0.004266,0.031827,0.022868,0.015643,0.020328,0.02070475
45,0.027368,0.020565,0.02551,0.009933,0.015274,0.033277,0.021857,0.019332,0.021639500000000002
50,0.0274,0.021857,0.02466,0.00816,0.015986,0.039388,0.020175,0.016951,0.021822125
55,0.020314,0.015205,0.029252,0.010528,0.018465,0.042857,0.020026,0.02017,0.022102124999999997
60,0.017086,0.014133,0.02415,0.004051,0.019898,0.03209,0.019455,0.020391,0.01890675
65,0.017558,0.015789,0.021457,0.003617,0.020578,0.035185,0.01792,0.017898,0.01875025
70,0.019004,0.022807,0.027834,0.005584,0.020153,0.037472,0.020405,0.014394,0.020956625
75,0.018065,0.022222,0.026826,0.003617,0.018465,0.028303,0.027558,0.014773,0.019978625
80,0.020833,0.024937,0.02664,0.0,0.019173,0.020574,0.025219,0.015341,0.019089625
