Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.075573,0.075856,0.067931,0.071327,0.068497,0.069912,0.074158,0.069912,0.07164575000000001
15,0.08548,0.083498,0.076705,0.081234,0.07897,0.073309,0.080668,0.077554,0.07967725
20,0.093971,0.090008,0.082366,0.084914,0.083498,0.082649,0.089159,0.083781,0.08629325
25,0.098783,0.094254,0.087178,0.089159,0.084914,0.085197,0.094537,0.084065,0.08976087499999999
30,0.103595,0.098783,0.091424,0.093405,0.092273,0.089725,0.096519,0.088027,0.094218875
35,0.106142,0.103029,0.096235,0.096802,0.097085,0.094537,0.100481,0.095669,0.0987475
40,0.111803,0.105859,0.099066,0.100198,0.0985,0.094537,0.105576,0.096802,0.101542625
45,0.112935,0.109256,0.102462,0.099915,0.104161,0.097934,0.110671,0.101047,0.10479762499999999
50,0.117181,0.111803,0.107274,0.104161,0.105293,0.102179,0.1152,0.104444,0.108441875
55,0.120011,0.114917,0.107274,0.105576,0.106142,0.103029,0.115483,0.103878,0.10953875
60,0.125106,0.12086,0.110671,0.109256,0.109539,0.104161,0.116898,0.108973,0.11318299999999998
65,0.129352,0.122842,0.112369,0.109822,0.110954,0.108689,0.119162,0.11152,0.11558875
70,0.126804,0.122559,0.114917,0.112935,0.113784,0.111237,0.121427,0.111803,0.11693325
75,0.130484,0.12822,0.119445,0.113784,0.112652,0.112652,0.121144,0.113784,0.11902062499999999
80,0.13105,0.129635,0.120011,0.115766,0.115766,0.11435,0.12171,0.117464,0.12071899999999999
