Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.047619,0.035088,0.020408,0.010417,0.040816,0.12381,0.026316,0.022727,0.040900125
15,0.039683,0.052632,0.020408,0.03125,0.040816,0.085714,0.035088,0.034091,0.04246025
20,0.047619,0.061404,0.030612,0.03125,0.061224,0.104762,0.061404,0.022727,0.052625250000000005
25,0.047619,0.061404,0.030612,0.03125,0.071429,0.095238,0.035088,0.045455,0.052261875000000006
30,0.055556,0.070175,0.030612,0.052083,0.071429,0.07619,0.052632,0.068182,0.059607375000000004
35,0.047619,0.052632,0.040816,0.052083,0.071429,0.07619,0.061404,0.068182,0.058794375
40,0.055556,0.052632,0.040816,0.052083,0.071429,0.085714,0.052632,0.068182,0.0598805
45,0.071429,0.04386,0.05102,0.0625,0.081633,0.085714,0.070175,0.068182,0.066814125
50,0.063492,0.052632,0.05102,0.052083,0.081633,0.095238,0.052632,0.045455,0.061773125000000005
55,0.055556,0.035088,0.061224,0.052083,0.05102,0.07619,0.070175,0.068182,0.05868975
60,0.055556,0.035088,0.061224,0.020833,0.040816,0.07619,0.052632,0.045455,0.04847425
65,0.055556,0.035088,0.061224,0.020833,0.040816,0.085714,0.052632,0.034091,0.048244249999999995
70,0.047619,0.035088,0.05102,0.03125,0.05102,0.095238,0.061404,0.034091,0.050841250000000004
75,0.039683,0.035088,0.071429,0.010417,0.030612,0.095238,0.061404,0.022727,0.045824750000000004
80,0.055556,0.052632,0.061224,0.010417,0.05102,0.095238,0.052632,0.034091,0.05160125
