Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.017019,0.010756,0.00656,0.010417,0.035714,0.04209,0.004776,0.012987,0.017539875
15,0.012598,0.016228,0.00656,0.007523,0.025267,0.032328,0.015716,0.014394,0.01632675
20,0.01833,0.016409,0.005726,0.007854,0.025397,0.034841,0.014352,0.022727,0.018204500000000002
25,0.020975,0.014522,0.007483,0.005932,0.020238,0.035684,0.009586,0.020455,0.016859375000000003
30,0.03288,0.018139,0.008787,0.010789,0.028515,0.032937,0.009649,0.019647,0.020167875
35,0.030026,0.017057,0.013605,0.008218,0.024405,0.020873,0.014787,0.019521,0.0185615
40,0.031878,0.021077,0.014456,0.006713,0.022959,0.024138,0.016228,0.019792,0.019655125
45,0.027743,0.019089,0.025267,0.012339,0.014484,0.037619,0.021881,0.022475,0.022612125
50,0.02329,0.023319,0.02466,0.008449,0.014172,0.040238,0.017763,0.018195,0.02126075
55,0.019255,0.016082,0.027551,0.006725,0.01312,0.039138,0.018759,0.020563,0.020149125
60,0.017303,0.018275,0.021542,0.002199,0.013889,0.033583,0.020259,0.016572,0.01795275
65,0.018298,0.020614,0.021016,0.002199,0.018367,0.036296,0.018358,0.01553,0.018834749999999997
70,0.025132,0.023026,0.021866,0.003687,0.018622,0.035185,0.020468,0.014881,0.020358375
75,0.025794,0.023392,0.027191,0.001157,0.016764,0.029762,0.026023,0.013258,0.020417625
80,0.026002,0.030141,0.026899,0.001488,0.019643,0.022884,0.017836,0.01392,0.019851625
